Date,Open,High,Low,Close,Volume
7/1/2002 15:30:00,54.37,55.17,54.07,54.7,870456
7/2/2002 15:30:00,54.58,54.75,53.63,53.78,961467
7/3/2002 15:30:00,53.76,54.96,53.58,53.99,2370174
7/4/2002 15:30:00,54.16,54.55,53.66,53.76,1034747
7/5/2002 15:30:00,53.96,54.12,52.8,53.01,2140759
7/8/2002 15:30:00,52.35,55.13,52.35,54.73,4601204
7/9/2002 15:30:00,54.77,56.09,54.38,55.75,3660312
7/10/2002 15:30:00,55.17,56.16,55.17,55.84,2715701
7/11/2002 15:30:00,55.57,55.69,53.29,53.49,2568911
7/12/2002 15:30:00,54.06,54.23,53.22,53.41,1557646
7/15/2002 15:30:00,53.76,53.76,52.35,53.53,1056344
7/16/2002 15:30:00,53.56,53.82,51.56,51.93,2256701
7/17/2002 15:30:00,51.79,52.04,50.7,51.12,3721631
7/18/2002 15:30:00,51.34,52.43,51.17,52.22,1784020
7/19/2002 15:30:00,51.54,52.82,51.54,52.31,2267280
7/22/2002 15:30:00,51.74,51.93,51.14,51.7,1400428
7/23/2002 15:30:00,51.26,52.31,50.88,51.69,2323311
7/24/2002 15:30:00,51.64,51.72,50.35,50.65,2198390
7/25/2002 15:30:00,51.34,52.28,50.34,50.7,6039297
7/26/2002 15:30:00,50.72,50.72,49.11,49.41,2916772
7/29/2002 15:30:00,49.24,50.44,48.08,49.88,4331956
7/30/2002 15:30:00,50.62,50.9,49.39,49.69,3108870
7/31/2002 15:30:00,49.32,49.88,48.53,49.2,3412258
8/1/2002 15:30:00,49.63,50.13,48.87,49.34,1950796
8/2/2002 15:30:00,48.74,49.23,48.13,48.89,1987066
8/5/2002 15:30:00,49.33,49.45,48.68,49.12,2169109
8/6/2002 15:30:00,48.92,49.12,48.44,48.63,1681055
8/7/2002 15:30:00,49.13,49.7,48.26,48.57,2468829
8/8/2002 15:30:00,48.67,48.87,46.58,46.94,3662096
8/9/2002 15:30:00,47.13,47.45,46.23,47.24,3369119
8/12/2002 15:30:00,47.87,48.99,47.17,48.51,4440241
8/13/2002 15:30:00,48.82,49.13,48.58,48.84,1554070
8/14/2002 15:30:00,48.74,49.03,47.95,48.03,2417646
8/16/2002 15:30:00,48.52,49.11,48.38,48.88,1975544
8/19/2002 15:30:00,49.15,49.67,49.15,49.38,2054911
8/20/2002 15:30:00,49.63,50.44,49.41,50.11,3269448
8/21/2002 15:30:00,50.14,50.55,49.29,49.37,1991301
8/22/2002 15:30:00,49.73,50.21,49.53,49.86,1792486
8/23/2002 15:30:00,50.31,50.43,49.65,50.28,1411719
8/26/2002 15:30:00,50.34,50.9,50.17,50.52,1648160
8/27/2002 15:30:00,52.35,52.35,49.53,49.65,1337440
8/28/2002 15:30:00,49.43,49.73,49.17,49.47,956877
8/29/2002 15:30:00,49.33,50.33,49.25,50.25,2058052
8/30/2002 15:30:00,50.47,51.62,50.13,51.44,3381295
9/2/2002 15:30:00,52.35,53.96,52.35,53.4,4126554
9/3/2002 15:30:00,53.64,53.74,52.57,53.21,2146322
9/4/2002 15:30:00,52.75,54.55,52.55,54.22,4934888
9/5/2002 15:30:00,54.36,54.53,53.35,53.55,2123615
9/6/2002 15:30:00,53.56,54.04,53,53.49,2514536
9/9/2002 15:30:00,53.33,53.56,51.89,52.54,2470540
9/11/2002 15:30:00,52.55,52.77,51.64,51.82,2066219
9/12/2002 15:30:00,51.9,53.08,51.84,52.45,2786878
9/13/2002 15:30:00,52.58,53.34,51.88,52.15,3702270
9/16/2002 15:30:00,52.35,52.59,51.74,51.96,2115338
9/17/2002 15:30:00,52,52.94,52,52.67,1336037
9/18/2002 15:30:00,52.35,52.71,51.95,52.08,1227802
9/19/2002 15:30:00,52.24,52.24,51.44,51.97,1510321
9/20/2002 15:30:00,51.34,51.82,50.95,51.44,1757760
9/23/2002 15:30:00,51.74,52.74,51.34,52.35,1821705
9/24/2002 15:30:00,52.15,52.61,51.2,51.44,2417212
9/25/2002 15:30:00,51.16,51.53,50.74,51.41,1211786
9/26/2002 15:30:00,51.74,51.76,51.29,51.48,584209
9/27/2002 15:30:00,51.49,52.25,51.1,51.94,1865491
9/30/2002 15:30:00,51.79,52.35,51.76,51.96,2254774
10/1/2002 15:30:00,51.56,51.84,50.14,50.33,2075680
